Trigger,Applies To,Learning Type,Sent To,Timestamp,Priority Level,Typical Response Time,Contextual Summary,Tone,Response Likelihood,Escalation Level,Feedback,Compliance Check,Actionable Links,Comments,Send Now,Employee Number,Previous Records Present,Most Active Day
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-06-11 09:51:02,High,3,Summary of the pending request.,Neutral,0.3403388431642836,Level 2,Negative,Fail,http://example.com/action,"Noted, will review the details soon.",1,1846,Yes,Friday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-04-01 09:51:02,High,3,Summary of the pending request.,Friendly,0.6713425247457223,Level 2,Neutral,Fail,http://example.com/action,Appreciate the clarity in this reminder.,1,1951,No,Wednesday
Auto-assign course(s) into plan,Both,Instructor-led,Colleague,2023-08-12 09:51:02,Low,6,Summary of the pending request.,Neutral,0.0536964319473936,Level 1,Positive,Pass,http://example.com/action,"Acknowledged, will take the necessary steps.",0,1054,Yes,Friday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-05-24 09:51:02,High,3,Summary of the pending request.,Urgent,0.3022675887804356,Level 2,Negative,Pass,http://example.com/action,"This is an urgent matter, please address it immediately.",1,7283,Yes,Thursday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-11-09 09:51:02,Medium,7,Summary of the pending request.,Friendly,0.2667206958021826,None,Negative,Fail,http://example.com/action,"Great reminder, very helpful!",0,8790,Yes,Tuesday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-08-27 09:51:02,High,4,Summary of the pending request.,Friendly,0.0423022615627913,None,Neutral,Pass,http://example.com/action,"Helpful reminder, keeps everything on track!",0,6408,Yes,Thursday
Auto-assign course(s) into plan,Both,Instructor-led,Colleague,2023-07-01 09:51:02,Low,5,Summary of the pending request.,Urgent,0.2723482123148163,Level 2,Positive,Fail,http://example.com/action,"Immediate action required, cannot delay!",0,7288,No,Thursday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-10-29 09:51:02,Medium,1,Summary of the pending request.,Friendly,0.1144140724300796,Level 2,Negative,Pass,http://example.com/action,"Helpful reminder, keeps everything on track!",1,3192,Yes,Sunday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2024-05-09 09:51:02,Low,2,Summary of the pending request.,Neutral,0.6604281371920366,None,Positive,Pass,http://example.com/action,"Acknowledged, will take the necessary steps.",1,7988,Yes,Tuesday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2024-02-17 09:51:02,High,2,Summary of the pending request.,Friendly,0.6780888719954488,Level 1,Positive,Pass,http://example.com/action,"Helpful reminder, keeps everything on track!",1,5451,No,Tuesday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-12-04 09:51:02,High,7,Summary of the pending request.,Urgent,0.7658276829237117,Level 2,Negative,Fail,http://example.com/action,"This is an urgent matter, please address it immediately.",0,5243,No,Monday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2024-03-03 09:51:02,Low,7,Summary of the pending request.,Urgent,0.032217314909981,Level 2,Neutral,Pass,http://example.com/action,"This is an urgent matter, please address it immediately.",0,7704,Yes,Sunday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2023-09-14 09:51:02,Medium,4,Summary of the pending request.,Urgent,0.7135448626110564,None,Neutral,Fail,http://example.com/action,Important to address this as soon as possible.,0,4517,Yes,Monday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2023-07-28 09:51:02,Low,6,Summary of the pending request.,Neutral,0.9974259229562152,Level 2,Positive,Fail,http://example.com/action,"Okay, I will check this out.",0,6256,No,Wednesday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-07-15 09:51:02,Low,5,Summary of the pending request.,Urgent,0.5025731447412627,None,Negative,Pass,http://example.com/action,Please prioritize this as it's extremely urgent.,0,6732,No,Thursday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-11-01 09:51:02,Low,7,Summary of the pending request.,Urgent,0.7618596199711071,Level 2,Negative,Pass,http://example.com/action,"Immediate action required, cannot delay!",0,3713,Yes,Sunday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-07-09 09:51:02,Medium,4,Summary of the pending request.,Friendly,0.8341104266407503,None,Neutral,Fail,http://example.com/action,"Helpful reminder, keeps everything on track!",0,9150,No,Tuesday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2023-09-29 09:51:02,High,3,Summary of the pending request.,Friendly,0.4418405526596308,Level 2,Positive,Fail,http://example.com/action,"Always good to get these reminders, thank you!",1,1966,Yes,Tuesday
Auto-assign course(s) into plan,Both,Instructor-led,Colleague,2023-09-30 09:51:02,Low,3,Summary of the pending request.,Urgent,0.0501423372639535,Level 1,Negative,Pass,http://example.com/action,Important to address this as soon as possible.,1,2062,Yes,Sunday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2023-07-22 09:51:02,High,5,Summary of the pending request.,Friendly,0.1140266398385525,Level 2,Positive,Fail,http://example.com/action,"Helpful reminder, keeps everything on track!",0,3204,Yes,Monday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-11-09 09:51:02,Medium,5,Summary of the pending request.,Neutral,0.4141837378827246,None,Negative,Pass,http://example.com/action,"Okay, I will check this out.",0,6567,No,Saturday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-06-03 09:51:02,Medium,5,Summary of the pending request.,Urgent,0.8310467186381858,None,Positive,Fail,http://example.com/action,"Urgency appreciated, let's act quickly on this.",0,5225,Yes,Thursday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2023-10-20 09:51:02,Low,6,Summary of the pending request.,Urgent,0.5234845576782113,Level 1,Positive,Pass,http://example.com/action,"Immediate action required, cannot delay!",0,7166,Yes,Monday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-11-10 09:51:02,Medium,6,Summary of the pending request.,Neutral,0.1428715904420626,None,Positive,Fail,http://example.com/action,"Acknowledged, will take the necessary steps.",0,5621,No,Tuesday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2024-02-24 09:51:02,Low,7,Summary of the pending request.,Neutral,0.6902903774188142,Level 2,Neutral,Fail,http://example.com/action,"Received the reminder, action pending.",0,5380,No,Sunday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-01-27 09:51:02,Low,2,Summary of the pending request.,Neutral,0.1906103709479283,Level 2,Negative,Pass,http://example.com/action,"Reminder received, will look into it.",1,2994,No,Friday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2024-03-09 09:51:02,High,2,Summary of the pending request.,Friendly,0.4841985872127087,Level 2,Negative,Fail,http://example.com/action,"Great reminder, very helpful!",1,5208,No,Friday
Auto-assign course(s) into plan,Both,Instructor-led,Colleague,2023-06-21 09:51:02,Medium,7,Summary of the pending request.,Urgent,0.6371133773013796,Level 1,Positive,Fail,http://example.com/action,"Urgency appreciated, let's act quickly on this.",0,7168,No,Monday
Auto-assign course(s) into plan,Both,Instructor-led,Colleague,2024-05-05 09:51:02,High,4,Summary of the pending request.,Neutral,0.3771695684842872,Level 1,Positive,Pass,http://example.com/action,"Received the reminder, action pending.",0,9038,Yes,Friday
Auto-assign course(s) into plan,Both,Instructor-led,Colleague,2024-05-06 09:51:02,Low,6,Summary of the pending request.,Neutral,0.2841469738781137,Level 2,Negative,Pass,http://example.com/action,"Received the reminder, action pending.",0,7028,No,Saturday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-02-17 09:51:02,High,2,Summary of the pending request.,Urgent,0.9462615328819464,Level 1,Neutral,Pass,http://example.com/action,"This is an urgent matter, please address it immediately.",1,8577,Yes,Friday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2024-05-24 09:51:02,Low,5,Summary of the pending request.,Neutral,0.842530004113389,Level 2,Positive,Pass,http://example.com/action,"Reminder received, will look into it.",0,4476,Yes,Friday
Auto-assign course(s) into plan,Both,Instructor-led,Colleague,2023-06-22 09:51:02,Low,2,Summary of the pending request.,Neutral,0.517745274208392,Level 2,Positive,Fail,http://example.com/action,"Received the reminder, action pending.",1,1126,No,Tuesday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2024-01-21 09:51:02,High,4,Summary of the pending request.,Neutral,0.6893711357847689,Level 1,Neutral,Pass,http://example.com/action,"Okay, I will check this out.",0,3026,Yes,Tuesday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-01-11 09:51:02,Low,6,Summary of the pending request.,Neutral,0.1898341012233597,None,Neutral,Fail,http://example.com/action,"Okay, I will check this out.",0,2854,Yes,Wednesday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2024-05-24 09:51:02,Low,5,Summary of the pending request.,Neutral,0.842530004113389,Level 2,Positive,Pass,http://example.com/action,"Noted, will review the details soon.",0,4476,Yes,Friday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-07-05 09:51:02,Medium,6,Summary of the pending request.,Urgent,0.0750411649881592,Level 2,Neutral,Fail,http://example.com/action,Please prioritize this as it's extremely urgent.,0,8147,No,Wednesday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2024-01-21 09:51:02,High,4,Summary of the pending request.,Neutral,0.6893711357847689,Level 1,Neutral,Pass,http://example.com/action,"Okay, I will check this out.",0,3026,Yes,Friday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-07-01 09:51:02,Low,2,Summary of the pending request.,Urgent,0.6677861147986713,Level 1,Neutral,Pass,http://example.com/action,"This is an urgent matter, please address it immediately.",1,7320,No,Tuesday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-07-19 09:51:02,Low,4,Summary of the pending request.,Neutral,0.5803294074111905,Level 2,Positive,Fail,http://example.com/action,"Okay, I will check this out.",0,3243,No,Wednesday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-10-02 09:51:02,High,3,Summary of the pending request.,Neutral,0.454349078156795,Level 2,Negative,Fail,http://example.com/action,"Noted, will review the details soon.",1,2205,Yes,Saturday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2023-09-19 09:51:02,Low,6,Summary of the pending request.,Neutral,0.0695854212483364,Level 2,Negative,Pass,http://example.com/action,"Noted, will review the details soon.",0,6765,No,Tuesday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2024-01-26 09:51:02,Medium,2,Summary of the pending request.,Neutral,0.5892656838759087,None,Positive,Fail,http://example.com/action,"Acknowledged, will take the necessary steps.",1,1302,Yes,Thursday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-06-24 09:51:02,Low,7,Summary of the pending request.,Friendly,0.921192528967638,Level 1,Positive,Fail,http://example.com/action,Appreciate the clarity in this reminder.,0,1260,Yes,Monday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2023-08-01 09:51:02,Medium,5,Summary of the pending request.,Neutral,0.8459337061558656,Level 1,Positive,Fail,http://example.com/action,"Reminder received, will look into it.",0,2792,Yes,Wednesday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2024-01-09 09:51:02,Medium,6,Summary of the pending request.,Neutral,0.7668980983562408,None,Negative,Pass,http://example.com/action,"Reminder received, will look into it.",0,9195,No,Thursday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2023-10-23 09:51:02,Low,4,Summary of the pending request.,Friendly,0.1273470873226085,None,Positive,Pass,http://example.com/action,"Helpful reminder, keeps everything on track!",0,9533,No,Tuesday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-12-11 09:51:02,Low,3,Summary of the pending request.,Urgent,0.7906819685889375,None,Neutral,Pass,http://example.com/action,"This is an urgent matter, please address it immediately.",1,3898,Yes,Sunday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-02-29 09:51:02,Medium,6,Summary of the pending request.,Neutral,0.565856627951035,None,Negative,Pass,http://example.com/action,"Acknowledged, will take the necessary steps.",0,5873,Yes,Wednesday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-06-27 09:51:02,Medium,4,Summary of the pending request.,Neutral,0.3210582559565715,None,Positive,Fail,http://example.com/action,"Acknowledged, will take the necessary steps.",0,3060,Yes,Saturday
